Date,Open,High,Low,Close,Volume
10/05/2021,"171.19","173.17","166.70","172.18","1,315,854"
10/04/2021,"175.95","176.95","170.77","171.36","1,195,738"
10/01/2021,"179.40","179.49","172.25","176.91","1,551,139"
09/30/2021,"175.00","185.45","166.79","175.47","3,177,453"
09/29/2021,"180.09","184.48","174.61","175.92","1,899,933"
09/28/2021,"188.00","190.81","178.00","178.60","1,770,493"
09/27/2021,"185.92","192.05","185.87","189.48","1,470,146"
09/24/2021,"191.00","191.72","184.11","185.16","1,685,759"
09/23/2021,"192.33","195.75","190.60","191.24","1,682,259"
09/22/2021,"189.64","193.50","186.29","190.14","2,256,593"
09/21/2021,"199.36","199.36","186.00","189.95","2,633,827"
09/20/2021,"200.00","202.85","184.55","192.20","3,941,802"
09/17/2021,"208.02","212.49","200.78","204.97","3,950,643"
09/16/2021,"202.33","216.55","201.15","206.37","3,058,217"
09/15/2021,"197.00","204.87","193.75","204.52","2,310,407"
09/14/2021,"200.65","204.62","195.00","199.24","2,141,631"
09/13/2021,"193.75","208.88","191.50","203.40","4,334,068"
09/10/2021,"198.41","202.16","190.00","190.41","3,042,648"
09/09/2021,"180.09","202.00","178.00","199.18","7,511,458"
09/08/2021,"201.86","206.88","190.68","198.80","5,173,566"
09/07/2021,"206.25","209.90","196.10","199.00","2,501,178"
09/03/2021,"212.05","216.27","198.84","202.75","2,664,005"
09/02/2021,"213.86","214.80","206.30","213.52","1,855,618"
09/01/2021,"224.00","231.44","208.02","212.97","4,453,782"
08/31/2021,"212.70","222.30","211.46","218.24","3,574,687"
08/30/2021,"205.00","218.19","203.02","209.20","3,309,584"
08/27/2021,"207.70","213.00","200.02","204.95","3,230,804"
08/26/2021,"200.68","217.00","199.00","205.22","6,238,647"
08/25/2021,"206.65","227.00","193.00","199.65","12,861,060"
08/24/2021,"166.29","225.00","165.15","210.29","14,652,210"
08/23/2021,"162.38","167.29","159.55","164.89","1,343,032"
08/20/2021,"153.80","160.09","153.24","159.30","1,154,858"
08/19/2021,"156.77","157.99","150.78","152.90","1,196,548"
08/18/2021,"163.25","165.60","156.75","157.05","1,411,842"
08/17/2021,"161.19","169.48","161.10","163.55","1,215,938"
08/16/2021,"161.00","169.88","159.16","163.93","1,574,877"
08/13/2021,"160.47","163.55","157.41","162.52","1,014,751"
08/12/2021,"159.88","164.28","157.33","162.35","1,319,832"
08/11/2021,"158.43","159.05","154.62","158.78","945,428"
08/10/2021,"161.36","166.90","155.35","159.05","1,623,334"
08/09/2021,"151.80","164.71","150.66","161.13","2,249,204"
08/06/2021,"154.59","156.50","150.31","151.77","1,352,689"
08/05/2021,"148.00","157.60","145.22","153.44","2,412,123"
08/04/2021,"152.73","157.79","145.69","146.80","2,393,484"
08/03/2021,"156.74","158.89","148.20","152.75","14,450,620"
08/02/2021,"162.00","163.59","155.06","157.65","2,532,931"
07/30/2021,"165.00","167.22","158.87","161.12","2,377,118"
07/29/2021,"170.60","173.89","164.51","164.86","2,239,995"
07/28/2021,"175.72","177.12","164.27","169.12","4,100,845"
07/27/2021,"183.00","185.00","176.66","178.54","1,214,775"
07/26/2021,"180.36","186.04","178.76","183.94","1,260,593"
07/23/2021,"181.00","181.60","173.84","180.36","1,316,168"
07/22/2021,"185.30","187.69","176.15","178.85","1,412,988"
07/21/2021,"187.79","195.51","182.11","185.81","2,229,184"
07/20/2021,"173.90","193.64","172.42","191.18","3,101,090"
07/19/2021,"163.30","176.00","161.22","173.49","2,436,934"
07/16/2021,"170.15","179.47","166.30","169.04","3,287,929"
07/15/2021,"160.00","171.99","158.01","166.82","4,298,589"
07/14/2021,"180.49","182.38","165.07","167.62","3,913,770"
07/13/2021,"187.68","188.79","179.00","180.06","2,397,944"
07/12/2021,"191.42","197.75","187.42","189.25","1,636,324"
07/09/2021,"190.88","194.78","186.75","191.23","1,582,925"
07/08/2021,"179.83","194.22","179.50","191.38","2,857,514"
07/07/2021,"196.00","197.50","177.56","190.66","4,239,500"
07/06/2021,"204.00","204.77","193.71","199.56","2,768,062"
07/02/2021,"204.80","205.45","196.50","202.83","2,602,729"
07/01/2021,"213.40","216.83","202.00","204.36","2,742,112"
06/30/2021,"209.69","215.28","206.94","214.14","2,539,648"
06/29/2021,"213.59","215.22","208.01","210.88","2,480,009"
06/28/2021,"211.25","224.45","210.20","213.25","4,879,364"
06/25/2021,"214.00","214.20","198.50","209.51","12,692,750"
06/24/2021,"221.16","227.45","211.60","212.31","3,863,339"
06/23/2021,"221.45","222.57","214.12","219.34","3,555,090"
06/22/2021,"217.73","225.88","209.17","220.40","8,200,177"
06/21/2021,"216.95","218.40","197.00","200.37","5,120,186"
06/18/2021,"220.18","223.49","213.00","213.82","4,320,317"
06/17/2021,"224.00","233.66","221.48","223.59","4,608,573"
06/16/2021,"215.24","228.73","209.00","222.97","5,564,827"
06/15/2021,"226.36","229.25","208.00","222.50","7,301,935"
06/14/2021,"236.50","238.01","219.20","229.44","7,132,627"
06/11/2021,"222.35","241.13","206.13","233.34","15,580,770"
06/10/2021,"282.00","288.00","211.00","220.39","22,980,150"
06/09/2021,"303.12","328.00","291.51","302.56","13,429,310"
06/08/2021,"292.00","344.66","281.00","300.00","17,439,119"
06/07/2021,"258.00","282.00","255.20","280.01","6,051,490"
06/04/2021,"256.02","265.00","245.77","248.36","3,637,515"
06/03/2021,"265.71","274.43","242.12","258.18","7,999,955"
06/02/2021,"248.88","294.00","244.30","282.24","16,019,220"
06/01/2021,"233.48","254.98","227.07","249.02","9,625,610"
05/28/2021,"262.97","268.80","221.43","222.00","11,751,370"
05/27/2021,"229.80","264.00","227.00","254.13","15,526,300"
05/26/2021,"229.00","248.48","225.55","242.56","21,119,869"
05/25/2021,"181.00","217.11","181.00","209.43","14,887,460"
